text,character
Looks like they're about to have theirs.,Marshall
Should we take this to the bedroom?,Ted
Yes!,Marshall
Yes!,Lily
Yes.,Victoria
Yes!,Marshall
Yes!,Lily
"No. No, don't answer it!",Marshall
You can answer it. We have all night.,Victoria
You're answering it? He's answering it!,Marshall
No! Do her! Do her now!,Lily
Sure. Good luck with that. ,Ted
How about a little more wine?,Victoria
I'll get another bottle.,Ted
I need a drink. Do we have any cough syrup in here?,Lily
Shh...,Marshall
"Oh, God. These brats have us completely surrounded. I counted nine, maybe ten. I'll lay down some cover fire, you make a run for it.",Robin
No. Leave no man behind. Either we all get out of here or no one does.,Barney
But I...,Robin
"Don't be a hero, Scherbotsky.",Barney
See you on the other side.,Robin
Damn. Want to go get a soft pretzel?,Barney
Yeah.,Robin
All right.,Barney
"Marshall, what happened to us? We used to just stare into each other's eyes all night long. Have we lost that?",Lily
"Maybe. But I think I just found it. Right here. Baby, I'm giving you sexy smoldering with just a hint of crazy eyes.",Marshall
"Okay, well, get ready for my sex-ray vision. Did you remember to pick up the dry cleaning? Oh, damn it.",Lily
It's all right. We can do this.,Marshall
Let's just hold hands. This is nice.,Lily
You love that move. It's a classic Marshall.,Marshall
"All right, we totally suck at this. We really, really need to get out of here.",Lily
"Well, we can't.",Marshall
"Baby, there's something I have to do, and if I do it in front of you, it'll change the entire nature of our relationship.",Lily
What is it?,Marshall
I have to pee.,Lily
This is bad.,Marshall
Yeah.,Lily
We've gone nine years without peeing in front of each other. You always think there'll be more time.,Marshall
"Look at us. We're basically an old married couple, and we're not even married yet. The flame of our romance is flickering, and if I pee all over it, it might go out forever.",Lily
How much longer do you think you can hold it?,Marshall
I drank a Big Gulp of Mountain Dew during that Quantum Leap marathon.,Lily
"Oh, boy.",Marshall
Playing laser tag really takes me back. You know what game I really miss? Battleship. I've never lost a game.,Robin
Neither have I. Of course I cheat.,Barney
"Oh, yeah, me, too. The trick is to bend the aircraft carrier so it makes an L.",Robin
Ah. I always just stacked the ships on top of each other.,Barney
"Nice. You know, we should have a cheaters grudge match. I think I still have a... Hello. Target acquired. Hottie by the jukebox.",Robin
"Ooh, good eye, Scherbotsky. I got someone for you. Two o'clock, blue shirt.",Barney
That's a woman.,Robin
"Oh, my mistake. Or is it?",Barney
Let's just focus on your target.,Robin
Right.,Barney
"Yeah, I got this one. Oh, my God. I love your jeans.",Robin
Okay. Is this a lesbian bar? Because that girl with the blue shirt just...,Woman
"Oh, no. I am all about the dudes. Although pickings are pretty slim tonight. Only hot guy here is blondie in the suit, and he's playing hard to get.",Robin
Really? 'Cause he's totally vibing me right now. Must be the jeans.,Woman
"Well, jeans will only get you so far. I'm going home with him.",Robin
We'll see about that.,Woman
"Oh, my God, I hate Ted. I hate him so much.",Lily
"Baby, why don't you just go? Tons of other couples have peed in front of each other.",Marshall
"No, but we haven't, because I want to keep some of the mystery alive.",Lily
"Well, you have farted in front of me.",Marshall
"Yes, but I always cover it with a cough.",Lily
You always do.,Marshall
Hey.,Barney
Hey.,Robin
Let's get out of here. Let's go somewhere else.,Barney
What happened?,Robin
"Eh, you sometimes like to do a little catch and release.",Barney
But why?,Robin
Leave no man behind. Either we all score or no one scores.,Barney
"Right on. Hey, you want to go play Battleship?",Robin
Hit!,Barney
"Ted, I can't wait any longer.",Victoria
Should we move to the bedroom?,Ted
There's no time for that.,Victoria
"They can suck on each other's fingers for an hour, but there's no time to take two steps to the bedroom?",Marshall
"Baby, I can't hold it in any longer. It's time.",Lily
I know.,Marshall
"I love you, Marshall.",Lily
"I love you, Lily.",Marshall
"Well, you make a good bro. You're a better Ted than Ted. Hey, in fact, you have just earned yourself an invite to Marshall's bachelor party. And you don't even have to come out of the cake.",Barney
"Thanks. And, um, thanks for sticking around tonight. I hope you're ready for some hard-core Battleship. Come on, boys.",Robin
Hard-core? That's the only way I play. (,Barney
I found it. Are you ready to... What the hell are you doing?,Robin
"I'm birthday suiting up.vI'm sorry, did you want to undress me?",Barney
No! I thought we were just hanging out as friends.,Robin
"Oh, come on, you have been throwing yourself at me all night.",Barney
What?! I did the opposite! I threw some other girl at you.,Robin
You invited me up to your apartment to play Battleship. Is that not an internationally recognized term for sex?,Barney
No.,Robin
Great. I hope you're happy. You sunk my battleship.,Barney
I'm okay. You okay?,Lily
"I feel the same. And yet, strangely different.",Marshall
"I'm happy for my bladder, yet sad for us.",Lily
"You had to do it, sweetie... for Ted. And, hey, look, at least now we can stay in here as long as it takes.",Marshall
"Yeah. I guess our relationship had to take a hit so a new one out there could blossom. Oh, crap!",Lily
They must have heard that.,Marshall
"Well, I guess we can come out now. I don't believe it. They're gone.",Lily
Good. 'Cause I got to take a whiz.,Marshall
"Okay, you and me, that's insane. If you even thought about it for one second...",Robin
"But I have thought about it for three seconds, and it makes a lot of sense. We both think the marriage commitment thing's a drag. We both want something casual and fun. And we clearly get along really well.",Barney
"Wow, that actually did make a lot of sense. But what about Ted?",Robin
I checked with Ted.,Barney
"Ted, so now that things with you and Victoria are going pretty well, I assume you're over all the girls you were into before, right? I take your silence as a yes, so say I were to hook up with someone, say Robin, you'd be cool with that, right?",Barney
Sure. Good luck with that.,Ted
Totally gave us his blessing.,Barney
Really?,Robin
Really.,Barney
So Ted didn't care that you wanted to make a move on me?,Robin
Didn't care at all. Oh. Oh...,Barney
What?,Robin
You like Ted.,Barney
I didn't say I liked Ted.,Robin
You like Ted. Wow. This is huge.,Barney
"Barney, I don't like Ted. He's moved on, and I'm really happy for...",Robin
"Yeah, yeah. Look, are we gonna play Battleship or what?",Barney
"You're not gonna tell him, are you?",Robin
No. That's the bro code. A bro doesn't tell a mutual bro that a third bro has a crush on him. Just like the third bro doesn't tell the mutual bro that the original bro went bare pickle in front of her. It's quid pro bro.,Barney
A-7.,Robin
Miss.,Barney
Of course.,Robin
"Well, we still have one frontier left. Still got the deuce.",Marshall
Not making me feel better.,Lily
"Well, it certainly was a first.",Marshall
"It was, wasn't it? We still have firsts.",Lily
"Of course we do. And you know what, I actually feel closer to you now. I want to know you. Like, know your soul.",Marshall
"Marshall, what makes you cry?",Lily
This moment is fleeting because it's being chased by another moment.,Marshall
"Oh, just grab my boob already.",Lily
"Come on, guys, get a room.",Ted
You don't have to shout out poker when you win.,Ted
I know. It's just fun to say.,Marshall
"It's called Marsh-gammon. It combines all the best features of all the best games... Candy Land, I Never, Pictionary.",Marshall
"Backgammon, obviously.",Robin
"No. Backgammon sucks. I took the only good part of backgammon, the gammon, and I left the rest of it in the trash where it belongs.",Marshall
I'm so excited Victoria's coming.,Lily
I'm going to go get another round.,Robin
"Okay, I want to lay down some ground rules for tonight. Barney, I actually like Victoria... a lot, so don't say anything embarrass... Don't say anything. And guys, I haven't exactly told Victoria that I used to have a kind of thing for Robin, so we you could just avoid the...",Ted
"Well, well, well. How rich. You make me promise to be on my best behavior around your girlfriend, yet, you have been lying to her since day one. Excuse me.Hi. Leg Warehouse? Yeah, my friend Ted needs something to stand on. So, nothing for him to stand on? Okay, and thanks so much. Ted, doesn't Victoria deserve to know that you once had the hots for Robin? I have half a mind to tell the story of the re-return.",Barney
No. I-I swore you to secrecy on that.,Ted
"Ooh, I am smelling dirt. What is the story of the re-return?",Lily
"Nothing. It's nothing. And speaking of digging up dirt, can I count on you two to behave around Victoria?",Ted
Us? What would we do?,Lily
"Look, um, you guys have always been like the parents that I still have and, in fact, moved here to get away from. However, could we skip the traditional interrogation of the new girlfriend tonight?",Ted
Fine.,Marshall
Fine.,Lily
Thank you.,Ted
I should go help Robin.,Lily
Hey.,Robin
"Hey. So, are you going to be okay hanging out with Victoria tonight?",Lily
"Oh, sure. She's great. Oh, what? Because of the whole thing where I said I liked Ted? No. Victoria's great. She's fun, she's free-spirited, she's great. I said, She's great too many times, didn't I?",Robin
You must really hate the bitch.,Lily
"But if you roll an even number while adjacent to the Peppermint Forest, then you Marshall out, and all your chips go into the pot, and remember, if you ever ask the question What?, then... you got to drink. Got it?",Marshall
No,All
"Okay, okay, no, no, we'll just start, you guys'll pick it up. Newbie goes first. Roll.",Marshall
Okay.,Victoria
"Three! You got Autobiography. Now, that's where you have to answer a personal question about your dating life truthfully in order to move on.",Marshall
"Marshall, come on.",Ted
"Hey, she's the one who rolled a three. Victoria, Have you ever cheated while in a relationship? Wow, good question.",Marshall
You don't have to answer that.,Ted
"It's okay. Um, well, I was in a really crappy relationship in college, and I wound up kissing this guy at a party one night, and I felt terrible about it, so, I came clean, and we broke up.",Victoria
"Victoria, that was an honest and mature answer. You may advance to The Gumdrop Mountains.",Marshall
"So Victoria, did you ever re-return to this guy?",Barney
What?,Victoria
"You said what, you got to drink!",Marshall
"Oh, Barney, by the way, I went to a party in that new building on 82nd, and the host said she knew you. What is her name? Sharon? Shannon?",Lily
"Shannon?! Shannon, Shannon... No, don't remember any Shannon.",Barney
"Really? Well, 'cause she gave me a videotape to give...",Lily
Where's the tape?,Barney
Fine. I'll go get it.,Lily
"Cool, okay. You know, whenever.",Barney
"Okay, Robin, your roll. Five! Another Autobiography... for the player to your left, which... Victoria!",Marshall
Of course.,Ted
"Victoria, How many boyfriends did you have before you started dating Ted?",Marshall
"Wait, the card actually says Ted?",Ted
"Okay, uh, well, boyfriends--I guess I've only had... two.",Victoria
Prude alert.,Robin
Well... that's serious boyfriends. I've dated other guys in between.,Victoria
"Oh, slut alert!",Robin
"Oh, great, there it is. Thanks, Lily. You're a peach. Oh, wow, look at that. Robin landed on the Chocolate Swamp. That's five chips for me.",Barney
Thank you! Finally somebody understands Marsh-gammon.,Marshall
"Barney, what was on that tape?",Lily
Too bad you'll never find out.,Barney
"Oh, damn it! If only I'd given you a fake tape and hidden the real tape in my purse. Oh, wait. That's exactly what I did.",Lily
What?!,Barney
Drink!,Marshall
"Yeah, you were acting so weird about it, I gave you Ted's graduation tape instead. So, should we pop it in?",Lily
"Give it to me, give it, give me...",Barney
"Play the tape, play it, play it!",Ted
"Ted! Fine, fine. You cannot play it. Shannon! I love you! I love you so much. What about us changing the world together? Don't tell me you've forgotten. I know I haven't. Will I ever see another rainbow? Will an eagle ever soar through this tempest of woe? Baby, please Don't go There's a thief in the palace, she's stolen all my love There's a thief in the palace and she's...",Barney
Did you try his cell phone?,Marshall
"Yeah, I left two messages. I checked the cigar club, the Lusty Leopard. He's off the grid.",Ted
"Hey, guys, what up?",Barney
"Barney, where have you been?",Robin
"Yeah, we're-we're really sorry about that.",Ted
"Yeah, so sorry. But seriously, what was up with the tape? No, no, stay.",Lily
Come on. Stay!,All
"I'm sorry. I don't want to talk about it. It was the most embarrassing, and humiliating thing that ever happened to me.",Barney
"Well, we all have embarrassing stories. Sometimes it's good to-to talk about it.",Marshall
"Oh, really? Then why don't you tell us your most humiliating moment, Marshall? Show me how good it is.",Barney
All right.,Marshall
"I was stopping by Lily's kindergarten class to say hi, but they were all at recess. I really had to pee, so I went into the class's restroom. It was a-a smaller target than I'm used to, so I figured I should sit down. What I didn't realize was, it was a shared bathroom. I wish I'd pulled up my pants.",Marshall
The kids still call him Funny Butt.,Lily
"Okay. I'll tell you my story. Believe it or not, I was not always as awesome as I am today.",Barney
"It was 1998. I was just out of college, and I was working at a coffeehouse with my girlfriend. My girlfriend... *Shannon. Yeah, you were meant for me And I was meant for you. Ooh, ooh, ooh-ooh-ooh.* Thank you. All right.",Barney
"I love your singing, Barney.",Shannon
"And I love you, Shannon.",Barney
Joining the Peace Corps with you is gonna be legendary.,Shannon
I know. Only five short weeks till we're down in Nicaragua.,Barney
"Hey, nonfat latte to go.",Man
"Mellow order, bro, mellow order.",Barney
"Dude, that your g-friend? All right, high five!",Man
"Sorry, I only give high twos.",Barney
Whatevs. As long as you're nailing that.,Man
"Listen to you. That? You know, women aren't objects. They're human beings. And FYI, Shannon and I have decided to wait till we're married. You can read about it in my zine.",Barney
"Hey, haircut, right here. Open up your knowledge basket, 'cause here it comes. Forget that touchy-feely crap. You get money, you get laid. End of discussion.",Man
"I feel sorry for you, man.",Barney
"Peace out, hombre.",Man
"Suits. Five weeks later, we were all set to leave for the Peace Corps. Only problem was... she never showed up.",Barney
She never showed?,Robin
"So, what happened next?",Ted
You know what? This was a mistake.,Barney
Wait... What if somebody else told their most humiliating story?,Lily
"Oh, I know just how to decide who.",Marshall
You brought the game to the bar?,Lily
"Well, we're not quitting just 'cause Ted's so far ahead.",Marshall
I was winning?,Ted
Fine. I'll go next.,Robin
I was doing a report on live TV about a hansom cab driver.,Robin
Not the slipping-in-horse-poop story!,Barney
"Yeah, we all know that one.",Ted
"Okay, how about this? I will tell you my most humiliating story.",Victoria
"Yeah, Victoria, way to step up!",Marshall
"Okay, it involves a game of truth or dare, a squeeze-bottle of marshmallow ice cream topping, and the hot tub at my grandparents' retirement community.",Victoria
That is the greatest story ever!,Marshall
Oh my God!,Lily
"Wow, wow!",Ted
"Victoria, I deem your offering... worthy. My saga... continues.",Barney
I went back to the coffeehouse to find Shannon.,Barney
Barney.,Shannon
"Sugar Bear, where were you?",Barney
"Oh, I'm sorry. My dad won't let me go.",Shannon
But the Nicaraguans need us!,Barney
"It's just, he's still supporting me, and... Look, he's coming by soon to talk about it, but I think you should go on without me.",Shannon
"Shannon, there is no...",Barney
"Barney, it's your dream. It's only two years. I know we can make it.",Shannon
"As I walked away, I realized Shannon was an adult. Her father couldn't control her life. I had to go back and confront him. She was in the middle of a heated argument with her dad.",Barney
Now we all got to drink.,Marshall
"Oh, my God. What happened next?",Ted
"I don't know, guys.",Barney
"Okay, okay. Marshall's mom sent us cookies...",Lily
"Lily, no!",Marshall
"For the team, Marshall, for the team.",Lily
"Hey, Mrs. Eriksen, it's Lily. Thank you so much for the delicious cookies. Mayonnaise. Really? Never would have guessed. Well, I will definitely give Marshall a kiss for you. Okay. Take care.",Lily
"Oh, crap. My mom sent cookies?",Marshall
"Yeah. I wish we had a dog, so they wouldn't go to waste.",Lily
So we've got the whole place to ourselves.,Marshall
I'm thinking floor sex.,Lily
Sounds reasonable.,Marshall
"Ooh, floor's cold. Grab that afghan your mom made.",Lily
The whole time?,Robin
The... whole... time.,Lily
"Barney, that was really embarrassing for both of us. We just earned a huge chunk of story.",Marshall
"Right. So where was I? Oh, yeah. Shannon was sucking face with her dad.",Barney
"How can... With your dad? I mean, I know judge not lest ye be judged, but gross!",Barney
"Barney, that's not my dad. His name's Greg. I've been seeing him for a few weeks. I was hoping you'd just leave, and we could avoid all this.",Shannon
We're breaking up? But what about the Peace Corps?,Barney
"Yeah, all this granola business, it was just a phase. Greg's older. He's successful. He buys me all this cool stuff.",Shannon
But I love you.,Barney
But he has a boat. You should go to the Peace Corps and forget about me.,Shannon
"I didn't go. That night, I recorded my video and mailed it to Shannon. I didn't see her until a week later. There's sugar in the basket. Shannon! Shannon, you came back!",Barney
I'm just picking up my last paycheck.,Shannon
Oh. Did you... did you get my tape?,Barney
"Oh, she got the tape.",Man
You? It was you?,Barney
"Will I ever see another rainbow Oh, man.",Man
"Oh, you poor thing.",Lily
The story's not over. I did see Shannon one more time.,Barney
When?,Robin
Sorry.,Marshall
You've got to tell us.,Lily
"I don't know, I think I might need one last story to get me through it.",Barney
Fine. Um... oh! The green testicle story. So I was playing ultimate frisbee in college and there was this barefoot dude with weirdly sharp toenails...,Ted
"Oh, come on, Ted! You know what story I want to hear. Everyone else here has manned up tonight and told the truth. Why can't you?",Barney
"You're right. Victoria, I'm sorry I haven't told you this yet, but a while back, I was kind of into Robin. In fact, on our first date, I might have said, I love you. Understandably, she freaked out and I left. But unfortunately, the night did not end there.",Ted
We all ended up at the bar with our cab driver Ranjit.,Ted
To one hell of a night!,Ranjit
"And I drank... a lot. So you guys think I should have kissed her? Well, I'll tell you what, I'm gonna go kiss her right... now.",Ted
Yes! Do it!,Barney
To the cab.,Ranjit
Hello? Is someone out there?,Robin
You ralphed and ran?,Lily
I thought you were vomit-free since '93. So that was a lie?,Marshall
You re-returned for me. That's really sweet. Though you kind of ruined my customized Scherbotsky doormat.,Robin
Sorry.,Ted
It's okay.,Robin
"Victoria, I know this must be...",Ted
Yeah. It kind of is.,Victoria
"Wow, Ted, you were right. You shouldn't have told that story. But you did earn yourself the right to the end of mine. We fast-forward eight years into the future.",Barney
"Wait, eight years, that's, that's this year.",Marshall
"Marshall, not only is it this year, it's tonight.",Barney
Hi.,Barney
Barney?,Shannon
"Hi, Shannon.",Barney
What are you doing here?,Shannon
"Just listen. When you left me for that guy Greg, it changed me. Now I'm this. I-I know this is crazy. It's just, you were once such a big part of my life. And it just seemed insane that you didn't know who I am now. So here I am. And then she told me about her life.",Barney
"She and Greg dated for a while and then split up. But here's the real kicker: Shannon's a mom. She has a little kid named Max. That's crazy. That could have been my kid. But instead, what do I have? My whole life's some money in the bank, some suits in my closet and a string of one-night stands.",Barney
"Hey. Come on. I mean, just because her life went one way and yours went another, it doesn't make your life any worse.",Lily
"My life rocks! Money, suits and sex. These are tears of joy! I could be cooped up in some tiny apartment changing some brat's poopy diapers. But instead, I'm out in the world being awesome 24-7, 365! You let me dodge a b*llet, Big Guy. Plus, here's the mini-cherry on top of the regular cherry on top of the sundae of awesomeness that is my life. After Shannon and I talked, I nailed her.",Barney
Nope.,Lily
Yeah.,Barney
Nope.,Lily
Yeah.,Barney
"Sorry. Don't buy it. You're making it up. You're just trying to cover the fact that you actually had a profound moment of doubt about yourself and... Oh, my God.",Lily
"Oh, Barney!",Shannon
"Video's pretty good on this phone, huh?",Barney
Is your phone on?,Shannon
"Oh, no. It just takes a while to power down.",Barney
"Ew, gross. Just stop it.",Lily
"Ladies, gentlemen... Ted. This has been a wonderful evening. I got great dirt on all you guys. I got Ted to tell the re-return. I finally nailed Shannon! Told her I'd call her tomorrow. Yeah, right. And I rediscovered just how awesomely awesome my life is. Peace out, hombres!",Barney
I think Barney just won game night.,Marshall
My first solo batch.,Ted
"Um, I think those need to stay in the oven a while longer. Here's a professional tip. If it's still runny, it's not a cupcake. It's a beverage.",Victoria
"Um, are you coloring in your butt?",Barney
"I have a big interview coming up, and my suit has holes in it. I can't sew, I don't own Navy boxers, so, yeah, I'm coloring in my butt.",Marshall
So wear another one.,Barney
I don't have another one. I'm flat broke. My only other suit options are track or birthday.,Marshall
"Dude, you show up to an interview in that, even the hippie lawyers from Granola Mountain Earth Pals will hackey sack you straight out the door.",Barney
"Okay, it's the National Resource Defense Council, and it's my dream job. Except it's only an internship, and I won't be getting paid. Mostly getting people coffee. But the people I'm getting coffee for... their bosses are going to save the world.",Marshall
"Okay, tomorrow... oh, and I should mention this is going to rock your world-- tomorrow I'm taking you to my personal tailor.",Barney
"A tailor? Barney, I make negative $300 a week, and I need every negative penny of that for my wedding.",Marshall
"Relax, my guy does everything for one third the cost. And there is no way you're getting married in that sarcastic-quotation-marks suit. Tomorrow, noon, my tailor.",Barney
"No thanks, dude. ",Marshall
Noon. See you then.,Barney
"Hey, girls.",Victoria
"Hey. I'm on my way to meet Ted. It's our two monthiversary, so we're going out to dinner.",Victoria
"Great! Well, that answers all the questions I didn't ask.",Robin
Robin!,Lily
"Oh, come on. We bust on each other. We're just at that place in our strong friendship.",Robin
Really? Oh.,Victoria
"Get off me. Oh, see? I did it again.",Robin
"What are you guys up to? Oh, dress shopping. You know, I make wedding cakes for a lot of fancy bridal shops. If you want, I could take you shopping, maybe get you a discount.",Victoria
Really? That'd be great.,Lily
Yeah. Huh. I should take this. Hello.,Victoria
"Hey, I thought it was going to be just us tomorrow. What's with inviting Punky Brewster?",Robin
"Robin, you've got to get over this Ted and Victoria thing. You had your chance, and now he's moved on. Can't you just be happy for them?",Lily
The best I can give you is a fake smile and dead eyes.,Robin
"Sold. Victoria, what's wrong?",Lily
I've just been offered a fellowship at a culinary institute in Germany.,Victoria
"Wait. Germany, Europe?",Ted
"It's for two years. I figured I didn't have much of a chance, 'cause they don't let many Americans in, but... I'm in.",Victoria
"So, this is the Europe Germany?",Ted
What other Germany would it be?,Victoria
The one in Epcot?,Ted
Ted.,Victoria
Sorry. Congratulations.,Ted
Thank you. I don't know if I'm going to go.,Victoria
"Mm-hmm. And if you do, what does that mean for us?",Ted
I don't know. I just... I don't think that long distance really works for anyone.,Victoria
"Oh, God, no. Long-distance is a lie teenagers tell each other to get laid the summer before college.",Ted
"So, that leaves us with...",Victoria
"Either you stay here, or we break up. Wow. Um, look, let's just see how things progress, and if by September, we still feel...",Ted
I have to leave on Monday.,Victoria
"Monday, September the...?",Ted
Ted. Do you have any thoughts?,Victoria
Maybe we should each take some time to think about what we want. We'll meet up tomorrow to discuss it.,Ted
It's a date.,Victoria
"Hey, baby, how's the dress place?",Marshall
Everything's so fluffy and white. It's like shopping in a marshmallow. How's Barney's tailor?,Lily
"Um, everything here is dark and sketchy and seems illegal. It's like shopping in Barney's mind.",Marshall
"Well, good luck, baby.",Lily
"Bye. Hey, Barney, I'm not sure about this. A tailor in the back room of a pet store?",Marshall
"Look, do you want a quality suit and a free rabbit or not? Ted, Sergei says stop moping around. You're distracting him from his process.",Barney
You speak Ukrainian?,Marshall
"Guys, I'm kind of screwed here. I don't want to lose Victoria, but I can't ask her to stay just for me. And long distance definitely isn't an option.",Ted
"No. No, no, no. No way. You know who likes long distance? Girls. It's all talking and no sex. k*ll me now.",Marshall
Don't knock long-distance relationships. I really think they can work.,Barney
Really? You?,Ted
"Absolutely. I'm juggling four right now. There's Lisa in Madrid, there's Erica in Tokyo, there's Laura in Denmark, and Kelly on 34th Street. The lass thinks I'm a humble sheep shearer from k*ll.",Barney
"Ted, do you remember in college when Lily did that summer art program in Paris?",Marshall
Yeah.,Ted
"Well, she kept talking about this cheesy French guy, Gabriel. So, I went out to visit, and there was this party. And who shows up but Gabriel. And he's got this weak-ass, thin French moustache. I'm not much of a fighter, but I knew I could take this weird little dude. So, I took him aside, and I got all creepy quiet, I got the crazy eyes going, and I said, You stay away from Lily, or I swear to God I'll eat that moustache right off of your ugly French face. Yeah. Yeah, he literally ran away. I think he was crying. I never told Lily about it. To be honest, I'm not very proud of it. To be even more honest, I am.",Marshall
"Um, other than confirming a lot of European stereotypes about Americans, did that little story have a point?",Ted
"Yeah, the point is that even though Lily is my soul mate, long distance still almost k*ll us. If you think that there's any chance that Victoria is your soul mate, you should ask her to stay.",Marshall
"Well, I don't know if she is. It's still so early, but yeah, she could be.",Ted
"Oh, please. You barely know this girl. What's her favorite color? Is she a cat person or a dog person? Is she open to a three-way? Ted, I do more research than this before buying a cell phone. FYI, yes, I have three-way calling.",Marshall
"Look, she can't be a cat person. I'm a dog person, I'm attracted to other dog people.",Ted
Are you sure?,Barney
All right. (,Ted
Hello.,Victoria
"Hey, random question. How do you feel about cats?",Ted
"Cats. Hated the musical, love the animal.",Victoria
"Good to know. Um, okay. Good-bye. ",Ted
"Oh, excellent. We'll take this one.",Barney
"Whoa. Hey, hey, it's my suit. Shouldn't I be the one to choose?",Marshall
Here. Play with this pin cushion.,Barney
God. I'm going to look hot.,Marshall
"Marshall, I can't let you waste a suit this nice fighting a losing battle for our planet's survival. This is a suit for winners. I am getting you an interview at my office. We need good men like you in our legal department. We get sued a lot.",Barney
No way. The Kid does not sell out.,Marshall
"Oh, come on, dude! Three months working with me, you'll make more than Lily makes in a year.",Barney
No. I've made my decision.,Marshall
"So have I. If I ask this girl to give up her dreams for me, and two weeks later, it's not working out, I'm, like, the biggest jerk of all time. It's just too much pressure on a new relationship. I'm going to tell her to go.",Ted
"All right, I've been thinking a lot about this... Okay, wait, before you say anything, I wanted to give you this. This is what happens when you, you know, let them finish baking.",Victoria
I want you to stay.,Ted
Everything here is dark and sketchy and seems illegal. It's like shopping in Barney's mind.,Marshall
"Oh, good luck, baby.",Lily
Bye.,Marshall
"Now, what sort of dress did you have in mind, dear?",Woman
Nothing too huge or-or poofy. I'm not really a girlie girl. But I would like to look like a beautiful princess.,Lily
I saw a couple up front that were nice.,Robin
Where does she get off? She doesn't know how much money I make.,Lily
"Oh, these women are experts. They can guess your net annual income just by looking at your underwear.",Victoria
Damn you Old Navy and your reasonably-priced three-packs!,Lily
At least we get free champagne!,Victoria
And cake.,Robin
Mm-hmm.,Victoria
"Speaking of which, Victoria, have you decided what to do about your doughnut fellowship?",Robin
"You know, I don't know. I mean, I want to go, but I don't want to lose Ted. I even thought about long distance, as if that ever works.",Victoria
Ugh. All talking and no sex. k*ll me now.,Lily
"I know it sounds lame, but I actually think that Ted might be The One. That's pretty hard to walk away from.",Victoria
"Well, I don't know. I'd feel a little Stepford turning down a huge opportunity to chase some guy I'd only known two months.",Robin
But this isn't just some guy. This is Ted. He's amazing. He's the best guy I know.,Victoria
"Yeah, in America, but German guys? Whew! I would let them bread my schnitzel any day, if you know what I mean.",Robin
I really don't...,Victoria
"Sex. Oh, excuse me, ma'am. This bastard's kicked.",Robin
Thanks.,Woman
"It's okay, guys, I hate it.",Lily
Just horrible.,Victoria
"It's bad, it's really bad. Short in front, long in the back? That is the mullet of wedding dresses.",Robin
"You know, Victoria, Marshall and I did long distance once. In college, I did an art course in Paris. I was the only American there. It was really lonely. I only had one friend, Gabrielle. She was kind of homely and strange-looking, and she was really self-conscious about this little moustache she had. Anyway, halfway through the semester, she just stopped talking to me, and I never figured out why. And then I had nobody. The only thing that got me through was knowing that my soul mate was back at home waiting for me. If Ted's your soul mate, then it may be worth it to hang onto him.",Lily
But how am I supposed to know if we're soul mates? It's too soon. Ooh. Speak of the devil. Hello.,Victoria
"Hey, random question: how do you feel cats?",Ted
"Cats. Hated the musical, love the animal.",Victoria
A cat person. Why am I not surprised?,Robin
Bye. Why does Ted want to know if I like cats?,Victoria
Maybe he's going to buy you one.,Lily
I did hear barking in the background. Maybe he was in a pet store. Does he want us to get a cat together?,Victoria
Maybe he's using an adorable kitty to guilt you into staying.,Robin
That is low. Do you really think that's what he's doing?,Victoria
"Oh, I wouldn't even wait to find out. I would be on the next plane to Germany.",Robin
"Oh, God, you guys are sucky liars.",Lily
"Ugly, ugly, ugly.",Robin
"I don't know what to say. You know what? We're doing this all wrong. I am going to get you one of those front window dresses, just for fun.",Victoria
Are you okay?,Lily
I'm fine.,Robin
Okay. Just kind of seemed like you're trying to hustle Victoria out of the country.,Lily
"I'm not, I'm just trying to support her. She got a super-important dessert scholarship.",Robin
"Stop being sarcastic. It is a super-important dessert scholarship. Wow, that's hard to say without sounding sarcastic. Look... I know you're not Victoria's biggest fan, but she seems to make Ted happy. So think about that before you use your miles to buy her a plane ticket.",Lily
Somebody say beautiful princess.,Victoria
"Oh, my gosh, it's perfect! Oh! This dress is totally going to get me laid on my wedding night.",Lily
"Oh, look how happy she is. You know, I've always thought of myself as one of those independent women who would never let any guy mess with my career. And now I'm actually thinking about it. I feel guilty, like it's un-feminist or something.",Victoria
I know what you mean.,Robin
You do?,Victoria
"Well, I'm always putting my career ahead of my relationships, and... to be honest, there's a lot of lonely nights in that job description.",Lily
"See, that's what I'm afraid of.",Victoria
Choosing Ted over your career doesn't make you un-feminist. Maybe it just means that you guys would be happy together.,Robin
Robin... I think that you are the coolest. I'm so glad that we're friends.,Victoria
"Oh, no way... you're the coolest.",Robin
"No, you are.",Victoria
"Okay, I am.",Robin
I'm going to stay.,Victoria
"Oh, I am so beautiful! Oh, don't tell me how much it costs. Just snap my neck now, so I can die this pretty.",Lily
"Wow, you look incredible.",Robin
"Oh. Okay, okay, how much is it, on a scale of never to never ever?",Lily
"Never ever, ever, ever, ever... times infinity.",Robin
"Well, it's okay. You know, what makes a bride beautiful is that she's just happy to be getting married. ",Lily
"Yes, you're right. But also... you just sat down in the cake.",Robin
"But, you know what? It's going to come out because it's only... chocolate and raspberry.",Victoria
"Okay. Come on, get up, let us see how bad it is.",Robin
It was like this when I found it?,Lily
And how will you be paying for this?,Woman
Credit card... s.,Lily
"I wanted to give you... this. This is what happens when you... you know, let them finish baking.",Victoria
I want you to stay.,Ted
